DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),SLP(hPa),MSLP(hPa)
01-01-2025,00:00:00,0,0,16.7,16.4,29.6,23,15.5,93,194,1,1,950.9,1015
01-01-2025,00:15:00,0,0,16.8,16.4,29.6,23,15.6,93,142,0,1,950.7,1014.8
01-01-2025,00:30:00,0,0,16.6,16.4,29.6,23,15.4,93,311,0,1,950.9,1015.1
01-01-2025,00:45:00,0,0,16.6,16.4,29.6,23,15.4,93,280,1,1,951,1015.2
01-01-2025,01:00:00,0,0,16.5,16.3,29.6,22.95,15.5,94,321,0,1,951.2,1015.4
01-01-2025,01:15:00,0,0,16.5,16.3,29.6,22.95,15.5,94,338,0,0,951.4,1015.6
01-01-2025,01:30:00,0,0,16.3,16.1,29.6,22.85,15.3,94,130,0,1,951.5,1015.8
01-01-2025,01:45:00,0,0,16.3,16,29.6,22.8,15.3,94,251,0,1,951.5,1015.8
01-01-2025,02:00:00,0,0,16.3,16,29.6,22.8,15.3,94,296,0,1,951.9,1016.2
01-01-2025,02:15:00,0,0,16.6,16,29.6,22.8,15.8,95,353,0,2,952,1016.2
01-01-2025,02:30:00,0,0,17.1,16,29.6,22.8,16.2,95,238,1,1,952.2,1016.3
01-01-2025,02:45:00,0,0,18.5,16,29.6,22.8,17.6,95,135,0,1,952.5,1016.3
01-01-2025,03:00:00,0,0,19.6,16,19.7,17.85,18.7,95,183,0,1,952.7,1016.3
01-01-2025,03:15:00,0,0,21,19.6,21.1,20.35,19.6,92,107,1,1,952.7,1016
01-01-2025,03:30:00,0,0,22.6,19.6,22.7,21.15,19.5,83,58,1,3,953,1016
01-01-2025,03:45:00,0,0,23.8,19.6,23.9,21.75,18.2,71,68,1,4,953.2,1015.9
01-01-2025,04:00:00,0,0,24.7,19.6,24.8,22.2,18.2,67,90,1,4,953.4,1015.9
01-01-2025,04:15:00,0,0,25,19.6,25.2,22.4,18,65,105,3,7,953.5,1016
01-01-2025,04:30:00,0,0,25.3,19.6,25.5,22.55,17.3,61,100,5,9,953.4,1015.8
01-01-2025,04:45:00,0,0,25.5,19.6,25.8,22.7,17.2,60,98,7,11,953.5,1015.9
01-01-2025,05:00:00,0,0,25.9,19.6,26.1,22.85,17.6,60,114,5,13,953.5,1015.8
01-01-2025,05:15:00,0,0,26.4,19.6,26.5,23.05,17.5,58,92,6,12,953.4,1015.6
01-01-2025,05:30:00,0,0,26.8,19.6,27.1,23.35,17,55,95,8,12,953.2,1015.3
01-01-2025,05:45:00,0,0,27.1,19.6,27.3,23.45,17.6,56,86,7,12,953.2,1015.2
01-01-2025,06:00:00,0,0,27.5,19.6,27.7,23.65,17.4,54,108,8,14,953,1014.9
01-01-2025,06:15:00,0,0,27.8,19.6,28.1,23.85,17.1,52,110,8,13,952.7,1014.5
01-01-2025,06:30:00,0,0,27.9,19.6,28.3,23.95,17.2,52,94,8,14,952.5,1014.3
01-01-2025,06:45:00,0,0,28.4,19.6,29,24.3,17,50,128,7,14,952.2,1013.8
01-01-2025,07:00:00,0,0,28.8,19.6,29,24.3,17.1,49,112,7,15,952.2,1013.8
01-01-2025,07:15:00,0,0,29,19.6,29.3,24.45,16.6,47,103,7,12,951.7,1013.2
01-01-2025,07:30:00,0,0,29.1,19.6,29.3,24.45,17,48,100,7,13,951.5,1013
01-01-2025,07:45:00,0,0,29.2,19.6,29.4,24.5,16.8,47,101,6,12,951.2,1012.6
01-01-2025,08:00:00,0,0,29.5,19.6,29.8,24.7,16.1,44,133,8,13,950.7,1012
01-01-2025,08:15:00,0,0,29.8,19.6,30,24.8,16.7,45,110,6,12,950.5,1011.7
01-01-2025,08:30:00,0,0,29.9,19.6,30,24.8,16.4,44,103,6,10,950.2,1011.4
